OBJECTID,FEATURECODE,Zip Code,ShapeSTArea,ShapeSTLength,,Tract,Notes & Estimated Tract area within zip code line
6,,55111,7426820.837,20736.37285,,27053980000,27053980000 (1/2)
1,,55305,24522911.23,22973.24075,,"27053026403, 27053026301, 27053026404, 27053026402, 27053026101, 27053023200",27053026301 (1/20). 27053023200 (1/2)
61,,55311,44959124.9,41232.7151,,"27053026909, 27053026910, 27053026714, 27053026715, 27053026716, 27053026711",Very small SE corner of 27053026909.   Very small SW corner of 27053026910.  All of 27053026714. All of 27053026715.  All of 27053026716.  All of 27053026711
9,,55316,23141977.82,25623.51588,,"27053026903, 27053026907, 27053026906, 27053026908",No significant overlap with anythin
12,,55317,623420.7952,3854.935694,,,"Don't include, majority not in Hennepin.  "
18,,55327,49806255.15,38055.17832,,27053026910,Includes 3/4 of 27053026910
59,,55328,8152818.402,24216.54473,,,"Don't include, majority not in Hennepin.  "
10,,55331,47650892.47,49057.73483,,"27053027400, 27053027203, 27053027501, 27053027504, 27053027503, 27053027700",CUT Total of this Zip code to 1/4 of reported size.  3/4 of this zip code is not in Hennepin County.  27053027400 (1/4). 27053027203 (1/4). 27053027503 (3/4). 27053027700 (1/6). 
33,,55340,29592.21973,690.5161854,,,Duplicate 55340? 
42,,55340,89533127.04,63940.42085,,"27053027102, 27053027101","27053027102(1/2), 27053027101(1/2), "
76,,55341,5614749.24,12959.90256,,,Track 27053026909 includes zip 55341
64,,55343,20241472.33,22165.92206,,"27053023501, 27053023400, 27053023200, 27053023300, 27053026103, 27053026104",27053023501 (1/4). 27053023200 (1/2). 
73,,55344,24855122.37,33199.65683,,"27053026007, 27053026006, 27053026005, 27053026015, 27053026019, 27053026020",27053026007 (4/5). 27053026006 (1/3).  27053026005 (1/5).  27053026015 (1/3). 
68,,55345,30213134.2,24400.45263,,"27053026302, 27053026202, 27053026201, 27053026206, 27053026205, 27053026207, 27053026208",27053026302 (6/10). 
5,,55346,18083540.16,24340.36807,,"27053026007, 27053026006, 27053026005, 27053026013, 27053026014",27053026007 (1/5). 27053026006 (2/3). 27053026005 (4/5). 
26,,55347,47948468.88,37703.20559,,"27053026021, 27053026022, 27053026018, 27053026015, 27053026016, ",27053026015 (2/3). 
19,,55356,39262400.32,45777.2666,,"27053027202, 27053027201, 27053027101",27053027201 (3/10). 27053027101 (1/6). 
65,,55357,51984105.85,53589.1265,,"27053027001, 27053027102, 27053027101",Includes half of 27053027001. 1/8 of 27053027102.  NW corner of 27053027101. NE corner of 27053027002. 
7,,55359,116896125.7,75905.49466,,"27053027002, 27053027700, 27053027101, 27053027201",27053027002 (19/20). 27053027700 (1/3). 27053027101 (1/8). 27053027201 (1/10). 
58,,55364,57118482.27,49104.4421,,"27053027201, 27053027601, 27053027602, 27053027700, 27053027503",27053027201 (2/10). 27053027700 (1/3). 27053027503 (1/4)
35,,55369,68060409.59,50977.48364,,"27053026909, 27053026910, 27053026708, 27053026706, 27053026707, 27053026710, 27053026702, 27053026812, 27053026712, 27053026713",Smidgen of overlap with 27053026909.  Bottom 1/4 of 27053026910.  Small west side of 27053026812 overlap.  
51,,55373,23981667.16,39270.40054,,27053027001,Eastern half of 27053027001 is in 55357
74,,55374,92003156.99,71238.37334,,"27053026909, 27053027102, ",27053027102 (1/3). 27053026909 (14/15)
8,,55375,7203465.74,15783.02986,,27053027700,27053027700 (1/12). 
75,,55384,1572851.711,6590.444922,,,Included in 55391
20,,55387,732204.5167,4560.329866,,,"Don't include, majority not in Hennepin.  "
22,,55388,3779172.388,10647.71507,,,"Don't include, majority not in Hennepin.  "
70,,55391,68889319.88,69706.76278,,"27053027203, 27053027201, 27053027400, 27053027300, 27053026301, 27053027101, 27053026302",55384 Included. 27053027203 (3/4). 27053027201 (4/10). 27053027400 (3/4). 27053026302 (4/10). 27053027101 (1/10)
24,,55401,2232115.541,9994.67178,,"27053126200, 27053103600, 27053126100",27053126200 (3/5). 27053103600 (4/10). 27053126100 (2/5). 
55,,55402,410259.9751,3700.183971,,,Combining with 55415
40,,55403,3599704.283,12958.43356,,"27053105500, 27053105600, 27053105201, 27053105204, 27053104400, 27053105700",27053105204 (1/2). 27053105700 (1/2)
28,,55404,4632236.386,13626.68251,,"27053105400, 27053005901, 27053005902, 27053106900, 27053006800, 27053126000, 27053106000, 27053125800, 27053107000, 27053125900, 27053106200, 27053105204, 27053105700",27053006800 (1/2). 27053126000 (2/5). 27053107000 (1/6). 27053125900 (2/5).  27053125800 (1/3). 27053106200 (1/2). 27053105204 (1/2). 27053105700 (1/2)
21,,55405,7411237.34,21565.48115,,"27053104100, 27053103400, 27053126200, 27053105100, 27053106500, 27053106600, 27053106700, 27053006800, 27053107000",27053103400 (1/4). 27053126200 (1/5). 27053105100 (9/10). 27053106500 (1/2). 27053106600 (1/2). 27053106700 (2/3). 27053006800 (1/2). 27053107000 (1/6). 27053106200 (1/2).  
